,name,artist,length,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,lyrics
0,Mama - Acoustic,Jonas Blue,192277,0.564,0.759,0.564,0.364,0,0.0839,-5.845,0.0631,86.538,"Where should we run to?
We got the world in our hands and we're ready to play
They say we're wasted
But how can we waste it if we're loving every day?
Okay, I got the keys to the universe
So stay with me
'Cause I got the keys, baby
Don't wanna wake up one day wishing that we'd done more
I wanna live fast and never look back, that's what we're here for
Don't wanna wake up one day, wondering, ""where'd it all go?""
'Cause we'll be home before we know, I wanna hear you sing it
Hey, mama, don't stress your mind
We ain't coming home tonight
Hey, mama, we gonna be alright
Dry those eyes
We'll be back in the morning when the sun starts to rise
So mama, don't stress your mind
So mama, don't stress your mind
Mama, mama, mama, hey
We ain't coming home tonight
Mama, mama, mama, hey
We ain't coming home tonight
Where should we run to?
We got a ticket that takes us wherever we like
We got our problems
But just for the minute, let's push all our troubles aside
Alright, 'cause we got the keys to the universe
Inside our minds, yeah, we got the keys, baby
Don't wanna wake up one day wishing that we'd done more
I wanna live fast and never look back, that's what we're here for
Don't wanna wake up one day wondering, ""where'd it all go?""
'Cause we'll be home before we know, I wanna hear you sing it
Hey, mama, don't stress your mind
We ain't coming home tonight
Hey, mama, we gonna be alright
Dry those eyes
We'll be back in the morning when the sun starts to rise
So mama, don't stress your mind
So mama, don't stress your mind (don't stress your mind)
Hey, mama, don't stress your mind
We ain't coming home tonight (oh)
Hey, mama, we gonna be alright
Dry those eyes
We'll be back in the morning when the sun starts to rise
So mama, don't stress your mind
So mama, don't stress your mind
Mama, mama, mama, hey
We ain't coming home tonight
Mama, mama, mama, hey
We ain't coming home tonight"
1,Same as you,Hyolyn,223044,0.701,0.314,0.701,0.519,0,0.207,-6.382,0.0516,89.977,"그대와 같아 조금도 변한 게 없어
여전히 그대 밖에 없어
그대와 같아 누가 뭐래도
그댈 잃지 않을 거야
견딜 수 없을 만큼 힘들 때도
그대 생각에 하루를 살죠
언제나 함께 어디든 함께
모든 걸 함께하고 싶은데
그대와 같아 조금도 다르지 않아
Since I've been loving you
그대와 같은 꿈을 꿈꾸고 있죠
Can I love you forever more
그대와 같아 첨 봤을 때부터
지금까지 내 맘 속엔
한 사람 밖에 없어
그대와 같아 어떤 이유도
내 맘 바꾸지 못해
견딜 수 없을 만큼 힘들 때도
그대 생각에 하루를 살죠
언제나 함께 어디든 함께
모든 걸 함께하고 싶은데
그대와 같아 조금도 다르지 않아
Since I've been loving you
그대와 같은 꿈을 꿈꾸고 있죠
Can I love you forever more
그대와 같아 조금도 다르지 않아
Since I've been loving you
그대와 같은 꿈을 꿈꾸고 있죠
Can I love you
Can I love you forever more
I just wanna love you
I really wanna do anything for you
Can I love you forever more
I just wanna love you
I really wanna do anything
everything for you
그대와 같아
그대와 같아
그대와 같아 조금도 변한 게 없어
여전히 그대 밖에 없어"
2,The Poet And The Pendulum,Nightwish,834720,0.309,0.00854,0.309,0.74,0.0258,0.119,-5.917,0.0456,144.861,"[I. White Lands Of Empathica]

The end

The songwriter's dead
The blade fell upon him
Taking him to the white lands
Of empathica
Of innocence
Empathica
Innocence

[II. Home]

The dreamer and the wine
Poet without a rhyme
A widowed writer torn apart by chains of hell

One last perfect verse
Is still the same old song
Oh Christ how I hate what I have become

Take me home

Getaway, runaway, fly away
Lead me astray to dreamer's hideaway
I cannot cry 'cause the shoulder cries more
I cannot die, I, a whore for the cold world
Forgive me
I have but two faces
One for the world
One for God
Save me
I cannot cry 'cause the shoulder cries more
I cannot die, I, a whore for the cold world

My home was there 'n then
Those meadows of heaven
Adventure-filled days
One with every smiling face

Please, no more words
Thoughts from a severed head
No more praise
Tell me once my heart goes right

Take me home

Getaway, runaway, fly away
Lead me astray to dreamer's hideaway
I cannot cry 'cause the shoulder cries more
I cannot die, I, a whore for the cold world
Forgive me
I have but two faces
One for the world
One for God
Save me
I cannot cry 'cause the shoulder cries more
I cannot die, I, a whore for the cold world
(Whore for the cold world
Whore for the cold world)

[III. The Pacific]

Sparkle my scenery
With turquoise waterfall
With beauty underneath
The Ever Free

Tuck me in beneath the blue
Beneath the pain, beneath the rain
Goodnight kiss for a child in time
Swaying blade my lullaby

On the shore we sat and hoped
Under the same pale moon
Whose guiding light chose you
Chose you all

""I'm afraid, I'm so afraid
Being raped again, and again, and again
I know I will die alone
But loved

You live long enough to hear the sound of guns
long enough to find yourself screaming every night
long enough to see your friends betray you

For years I've been strapped unto this altar
Now I only have three minutes and counting
I just wish the tide would catch me first and give
me a death I always longed for.""

[IV. Dark Passion Play]

2nd robber to the right of Christ
Cut in half - infanticide
The world will rejoice today
As the crows feast on the rotting poet

Everyone must bury their own
No pack to bury the heart of stone
Now he's home in hell, serves him well
Slain by the bell, tolling for his farewell

The morning dawned, upon his altar
Remains of the dark passion play
Performed by his friends without shame
Spitting on his grave as they came

Getaway, runaway, fly away
Lead me astray to dreamer's hideaway
I cannot cry 'cause the shoulder cries more
I cannot die, I, a whore for the cold world
Forgive me
I have but two faces
One for the world
One for God
Save me
I cannot cry 'cause the shoulder cries more
I cannot die, I, a whore for the cold world
(Whore for the cold world
Whore for the cold world)

""Today, in the year of our Lord 2005
Tuomas was called from the cares of the world
He stopped crying at the end of each beautiful day
The music he wrote had too long been without silence

He was found naked and dead,
With a smile in his face, a pen and
1000 pages of erased text""

Save me

[V. Mother and Father]

Be still, my son
You're home
Oh when did you become so cold?
The blade will keep on descending
All you need is to feel my love

Search for beauty, find your shore
Try to save them all, bleed no more
You have such oceans within
In the end
I will always love you

The beginning"
3,Afire Love,Ed Sheeran,314280,0.552,0.464,0.552,0.637,1.63E-05,0.136,-6.568,0.0445,97.97,"Things were all good yesterday
And then the devil took your memory
And if you fell to your death today
I hope that heaven is your resting place
I heard the doctors put your chest in pain
But then that could've been the medicine
And now you're lying in the bed again
Either way, I'll cry with the rest of them
And my father told me, ""Son
It's not his fault he doesn't know your face
And you're not the only one""
Although my grandma used to say
That he used to sing
Darling, hold me in your arms the way you did last night
And we'll lie inside for a little while here, oh
I could look into your eyes until the sun comes up
And we're wrapped in light and life and love
Put your open lips on mine and slowly let them shut
For they're designed to be together, oh
With your body next to mine, our hearts will beat as one
And we're set alight, we're afire love
Love, love
And things were all good yesterday
But then the devil took your breath away
And now we're left here in the pain
Black suit, black tie, standing in the rain
And now my family is one again
Stapled together with the strangers and a friend
Came to my mind, I should paint it with a pen
Six years old, I remember when
My father told me, ""Son
It's not his fault he doesn't know your face
And you're not the only one""
Although my grandma used to say
That he used to sing
Darling, hold me in your arms the way you did last night
And we'll lie inside for a little while here, oh
I could look into your eyes until the sun comes up
And we're wrapped in light and life and love
Put your open lips on mine and slowly let them shut
For they're designed to be together, oh
With your body next to mine, our hearts will beat as one
And we're set alight, we're afire love
Love, love
See the love, the love, the love, the love
See the love, the love, the love, the love
See the love, the love, the love, the love
And my father and all of my family
Rise from their seats to sing hallelujah
And my mother and all of my family
Rise from their seats to sing hallelujah
And my brother and all of my family
Rise from their seats to sing hallelujah
(And all my brothers and my sisters, yeah, ah)
And my father and all of my family
Rise from their seats to sing hallelujah
To the love, the love, the love, the love
To the love, the love, the love, the love
To the love, the love, the love, the love"
4,Given Up,Linkin Park,189293,0.655,0.00117,0.655,0.885,0.000473,0.0448,-4.116,0.0438,100.088,"Wake in a sweat again
Another day's been laid to waste
In my disgrace
Stuck in my head again
Feels like I'll never leave this place
There's no escape
I'm my own worst enemy
I've given up
I'm sick of feeling
Is there nothing you can say?
Take this all away
I'm suffocating
Tell me what the fuck is wrong with me
I don't know what to take
Thought I was focused, but I'm scared
I'm not prepared
I hyperventilate
Looking for help somehow, somewhere
And no one cares
I'm my own worst enemy
I've given up
I'm sick of feeling
Is there nothing you can say?
Take this all away
I'm suffocating
Tell me what the fuck is wrong with me
God
Put me out of my misery
Put me out of my misery
Put me out of my
Put me out of my fucking misery
I've given up
I'm sick of feeling
Is there nothing you can say?
Take this all away
I'm suffocating
Tell me what the fuck is wrong with me"
5,All About Us,He Is We,206533,0.564,0.28,0.564,0.534,0,0.121,-6.05,0.0238,85.964,"Take my hand, I'll teach you to dance
I'll spin you around, won't let you fall down
Would you let me lead? You can step on my feet
Give it a try, it'll be alright
The room's hush hush and now's our moment
Take it in, feel it all and hold it
Eyes on you, eyes on me
We're doing this right
'Cause lovers dance when they're feeling in love
Spotlight's shining
It's all about us
It's oh, oh, all
About uh, uh, us
And every heart in the room will melt
This is a feeling you never felt dry
It's oh, oh, all about us
Suddenly I'm feeling brave
Don't know what's got into me
Why I feel this way
Can we dance real slow?
Can I hold you? Can I hold you close?
The room's hush hush and now's our moment
Take it in, feel it all and hold it
Eyes on you, eyes on me
We're doing this right
'Cause lovers dance when they're feeling in love
Spotlight's shining
It's all about us
It's oh, oh, all about uh, uh us
And every heart in the room will melt
This is a feeling you never felt dry
It's oh, oh, all about us
Do you hear that love?
They're playing our song
Do you think we're ready?
Oh, I'm really feeling it
Do you hear that love?
Do you hear that love?
Do you hear that love?
They're playing our song
Do you think we're ready yet?
Love I'm really feeling it
Now you hear that love?
Do you hear that love?
Do you hear that love?
They're playing our song
Do you think we're ready yet?
And oh, I'm really feeling it
Do you hear that love?
Do you hear that love?
Lovers dance when they're feeling in love
Spotlight's shining
It's all about us
It's all about us, it's oh, oh, all
Every heart in the room will melt
This is a feeling you never felt dry
It's oh, oh, all about us
'Cause lovers dance when they're feeling in love
Spotlight's shining, it's all about us
It's oh, oh, all (about us) hey, hey, hey
(And every heart in the room will melt)
This is a feeling I've never felt dry
It's all, it's all about us"
6,Take It Back,Ed Sheeran,208400,0.754,0.318,0.754,0.613,0,0.335,-6.342,0.229,113.196,"I'm not a rapper, I'm a singer with a flow
I've got a habit of spitting
Quicker lyrics you know
You found me ripping the writtens
Out of the pages they sit in
And never once I get bitten
Because plagiarism is hidden
Which I would sit on the rhythm
Prisoner with a vision
Signs of a label, but didn't listen to any criticism
Thought you knew but you didn't
So perk your ears up and listen
Studio is a system
And you could say that I'm driven
And now it's on to the next saga
We drink the best lager
I never tried to win you over
Like your stepfather
I do my own thing now, and get respect after
And I'm avoiding cocaine like it was Get Carter
For four years I never had a place to stay
But it's safe to say that it kept me grounded like a paperweight
At sixteen years old, yeah I moved out of my home
I was Macy Gray I tried to say goodbye and I choked
And went from sleeping at the subway station
To sleeping with a movie star and adding to the population
Not my imagination, I don't wanna relax
Would it hurt your reputation if I put it on wax?
I'll take it back now
Mmmm c'mon and take it back love
C'mon and take it back for us
Don't you fade into the back love
No
I take it back with the rhythm and blues
With my rap pack I'll be singing the news
Trying to act like Jack Black when I bring 'em to school
I'll make a beat with my feet by just hitting a loop
Bringing the lyrics to prove that I can fit in these shoes
I give you the truth through the vocal booth
Stars burst out on the scene like an opal fruit
They try and take aim like Beckham when he goes to shoot
But then again that's what they're supposed to do
And I'm supposed to be calm
I tattooed the lyrics onto my arm
Whispering everything that happens is from now on
I'll be ready to start again at the end of the song
Still their claiming that I handled it wrong
But then I never had an enemy, except for NME
But I'll be selling twice as many copies as the magazines will ever be
With only spectacles ahead of me and festival fees
I'm healthier than a Dalmatian on Pedigree
Singing for the masses
Rubber dinghy rapids
Keep this rapping a habit
And keep on passioning magic
I'm battling for respect
I don't know if I'll have it
This songs from the heart
Cover the planet
I'll take it back now
Mmmm c'mon and take it back love
C'mon and take it back for us
Don't you fade into the back love
No
Take it back now
Now I don't ever want to be perfect
Cause I'm a singer that you
Never want to see shirtless
And I accept the fact that someone has to win worst-dressed
Taking my first steps into the scene
Giving me focus
Putting on a brave face, like Timothy Dalton
Considering a name change
Thinking it was hopeless
Rhyming over recordings
Avoiding tradition
Cause every day some lyrics
And a melody can be written
Now absence can make your heart break
But drinking absinthe can change your mind-state, vividly
I need to let my liver be
And I say it again
Living life on the edge
With a closed hand full of friends
Is good advice from a man
Who took his life on the road with me
And I hope to see him blowing up globally
Cause that's how it's supposed to be
I'm screaming out vocally
It might seem totally impossible
Achieving life's dreams
But, but I just write schemes
I'm never having a stylist, giving me tight jeans
Madison Square Garden is where I might be
But more likely
You'll find me in the back
Room of a dive bar with my mates
Having a pint with McDaid
Discussing records we made
And every single second knowing
That we'll never betray
The way we were raised
Remembering our background
Sat down
That's how we plan it out
It's time to take it back now
Mmmm c'mon and take it back love
C'mon and take it back for us
Don't you fade into the back love
No
Mmmm c'mon and take it back love
C'mon and take it back for us
Don't you fade into the back love
No"
7,Heart Afire,Defqwop,240039,0.414,0.0316,0.414,0.708,0,0.0623,-4.181,0.0912,199.9,"Nightmares creep while you and me repeat
This bittersweet heat is suffocating
I'm waiting, and always hesitating
Kryptonite desires set my heart afire
Heart on fire, set my heart afire, yeah
With crimson secrets and forbidden bliss
Can't stay still, don't stop the thrill
My bones crave your skin, temptation within
Mistakes ignite the silence
Nightmares creep while you and me repeat
This bittersweet heat is suffocating
I'm waiting, and always hesitating
Kryptonite desires set my heart afire
Heart on fire, set my heart afire, yeah
Connect the dots straight to the start of intoxicating want
Lingering touch, these soft words whispered in the dark
Set my heart afire"
